area,rooms,bathroom,price,link,latitude,longitude
94,3,3,1060000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-beira-mar-bairros-florianopolis-com-garagem-94m2-venda-RS1060000-id-2550221114/,-27.5875054,-48.5194351
70,2,3,750000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-joao-paulo-bairros-florianopolis-com-garagem-70m2-venda-RS750000-id-2551087736/,-27.5559219,-48.5019898
93,2,2,379000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-93m2-venda-RS379000-id-2567167389/,-27.5960512,-48.5455301823311
76,3,2,440000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-76m2-venda-RS440000-id-2557560081/,-27.4363229,-48.3932246
98,2,2,1300000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-98m2-venda-RS1300000-id-2524367716/,-27.4401949,-48.4979797
81,2,3,850000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-corrego-grande-bairros-florianopolis-com-garagem-81m2-venda-RS850000-id-2569330932/,-27.603255,-48.5011645
107,3,3,1400000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-107m2-venda-RS1400000-id-2568449986/,-27.4350547,-48.5073769861319
96,3,2,470000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coloninha-bairros-florianopolis-com-garagem-96m2-venda-RS470000-id-2546594816/,-27.5890981,-48.5935081
80,2,2,660000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-80m2-venda-RS660000-id-2567102144/,-27.431352,-48.4622152
76,2,1,239000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-76m2-venda-RS239000-id-2569739017/,-27.4399071,-48.401143
108,3,2,600000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-108m2-venda-RS600000-id-2549008347/,-27.4291395,-48.3994935
71,2,2,270000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-71m2-venda-RS270000-id-2427695351/,-27.6807125,-48.4995093
102,3,3,571000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-102m2-venda-RS571000-id-2561884465/,-27.5908567,-48.5519228
83,2,2,620000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-das-canas-bairros-florianopolis-com-garagem-83m2-venda-RS620000-id-2562020527/,-27.3990658,-48.4282029
100,3,2,899000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-100m2-venda-RS899000-id-2566510671/,-27.5929095,-48.5526848
99,3,2,1100000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agronomica-bairros-florianopolis-com-garagem-99m2-venda-RS1100000-id-2567222331/,-27.5811118,-48.5420848
75,2,2,1290000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-75m2-venda-RS1290000-id-2572885380/,-27.5847358,-48.5439768
74,2,3,1400000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS1400000-id-2570651508/,-27.4402665,-48.5027484
75,2,2,235000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-75m2-venda-RS235000-id-2572909329/,-27.4544055,-48.3967147
90,2,2,680000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-90m2-venda-RS680000-id-2569330516/,-27.4302416,-48.468117
89,3,2,340000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-89m2-venda-RS340000-id-2572718396/,-27.5968888,-48.5973851
79,2,1,430000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-79m2-venda-RS430000-id-2566692180/,-27.5964399,-48.5449008
93,3,2,780000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bom-abrigo-bairros-florianopolis-com-garagem-93m2-venda-RS780000-id-2571352552/,-27.6104497,-48.5947518
